X,Y,Name,description,AWARDED_DATE,LANDYADDRESSPOINT,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,APPROXIMATE_GFA,INFO_ON_CO_LOCATORS,ADDRESSBUILDINGNAME,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D
103.764264410293,1.3037819726711,Clementi West Street 2 Blk 726,HUP Standard Upgrading,,31791.21,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg,726,29/11/1980,Existing,,,,26/11/2009,20314.9,Clementi West Street 2,120726,,"Blk 726, Clementi West Street 2, Singapore 120726",3B5F054B925A30B9,20221012163049
103.800362825517,1.3068922760844,Commonwealth Crescent Market,HUP Rebuilding,,32135.05,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg,31,1965,Existing,3040.58,,,18/8/2004,24332.33,Commonwealth Crescent,149644,,"31, Commonwealth Crescent, Singapore 149644",35C408FD216C2404,20221012163049
103.797875477439,1.29971330531884,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),HUP Standard Upgrading,,31341.24,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg,1A/2A/3A,16/11/1981,Existing,,,,15/1/2010,24055.5,Commonwealth Drive,141001,,"Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003",B823DC7764C2C957,20221012163049
103.90182514721,1.30941418731185,Dunman Food Centre,HUP Standard Upgrading,,32413.99,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg,271,1974,Existing,984,,,3/12/2002,35624.14,Onan Road,424768,,"271, Onan Road, Singapore 424768",5924E489E4CEB0EB,20221012163049
103.935016747249,1.30668431820832,East Coast Lagoon Food Village,HUP Rebuilding,,32112.26,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg,1220,1978,Existing,3600.16,,,10/12/2003,39318.07,East Coast Parkway,468960,,"1220, East Coast Parkway, Singapore 468960",1D6E51B4E1D233F8,20221012163049
103.805636386821,1.31624573118373,Empress Road Blk 7 (Empress Road Market and Food Centre),HUP Standard Upgrading,,33169.3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg,7,26/3/1976,Existing,,,,2/12/2008,24919.24,Empress Road,260007,,"Blk 7, Empress Road, Singapore 260007",2DAAEFC7E956D1E6,20221012163049
103.870004415152,1.32146226027018,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),Opted out of HUP,,33746.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg,69,16/1/1974,Existing,,,,,32082.77,Geylang Bahru,330069,,"Blk 69, Geylang Bahru, Singapore 330069",1CDA7137229B703E,20221012163049
103.898224315881,1.3167281476983,Geylang Serai Market,HUP Rebuilding,,33222.72,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg,,3/7/2009,Existing,11534.9,,,3/7/2009,35223.38,Geylang Serai,402001,,"1, Geylang Serai, Singapore 402001",A247BF61CE06DAC1,20221012163049
103.788230657145,1.31099627311591,Ghim Moh Road Blk 20,Opted out of HUP,,32588.87,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg,20,24/1/1977,Existing,,,,,22982.14,Ghim Moh Road,270020,,"Blk 20, Ghim Moh Road, Singapore 270020",8A5C1B4701C41095,20221012163049
103.863883249985,1.30287548090781,Golden Mile Food Centre,HUP Standard Upgrading,,31690.89,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg,505,1975,Existing,6249.229,,,4/7/2002,31401.57,Beach Road,199583,,"505, Beach Road, Singapore 199583",68D21092867E51D3,20221012163049
103.895609494855,1.3151420505272,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),HUP Reconfiguration,,33047.33,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg,13/14,30/7/1977,Existing,,,,4/8/2010,34932.38,Haig Road,430013,,"Blk 13/14, Haig Road, Singapore 430013/430014",110148A55D9E2AFA,20221012163049
103.829626834637,1.28797543998733,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),HUP Standard Upgrading,,30043.3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg,22A/B,16/11/1969,Existing,,,,27/4/2007,27589.14,Havelock Road,161022,,"Blk 22A/B, Havelock Road, Singapore 161022/162022",1CFBA3CB00902F92,20221012163049
103.939726160039,1.35386211773287,Hawker Centre @ Our Tampines Hub,New Centre,7/5/2014,37328.97,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,1,6/8/2016,Existing (new),2241,hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre,Our Tampines Hub,,39841.96,Tampines Walk,528523,1/8/2013,"1 Tampines Walk, Singapore 528523",17E2D59B253CC806,20221012163049
103.837031803823,1.35200744198417,Shunfu Road Blk 320 (Shunfu Mart),Not eligible for HUP,,37123.63,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,320,25/5/2000,Existing,,,,,28413.24,Shunfu Road,570320,,"Blk 320, Shunfu Road, Singapore 570320",93EF4005B9CA475E,20221012163049
103.879417030673,1.31708335109103,Sims Place Blk 49 (Sims Vista Market and Food Centre),HUP Reconfiguration,,33261.95,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,49,20/9/1976,Existing,,,,15/11/2006,33130.31,Sims Place,380049,,"Blk 49, Sims Place, Singapore 380049",87604B5A2F6B6C68,20221012163049
103.843177616296,1.28223514826381,Smith Street Blk 335 (Chinatown Complex Market),HUP Reconfiguration,,29408.57,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,335,31/5/1983,Existing,,,,30/4/2008,29097.23,Smith Street,50335,,"Blk 335, Smith Street, Singapore 050335",B4A7F7D0E5A23171,20221012163049
103.721519868629,1.33458935951076,Taman Jurong Market and Food Centre,HUP Rebuilding,,35197.91,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,3,23/3/2005,Existing,7770.3,,,23/3/2005,15557.97,Yung Sheng Road,618499,,"3, Yung Sheng Road, Singapore 618499",45EB3EEBFB324214,20221012163049
103.944624481151,1.3456395210229,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),HUP Reconfiguration,,36419.78,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,137,30/11/1982,Existing,,,,8/1/2006,40387.13,Tampines Street 11,521137,,"Blk 137, Tampines Street 11, Singapore 521137",F6017D5F9EB547CC,20221012163049
103.797625756738,1.30078931480841,Tanglin Halt Market,HUP Standard Upgrading,,31460.22,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,48A,1964,Existing,2030.92,,,1/10/2003,24027.71,Tanglin Halt Road,148813,,"48A, Tanglin Halt Road, Singapore 148813",74052054E3CC3AB3,20221012163049
103.843166992138,1.27661461066321,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),HUP Standard Upgrading,,28787.08,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,6,18/4/1977,Existing,,,,27/12/2013,29096.05,Tanjong Pagar Plaza,81006,,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",90C2DF392AE4A99D,20221012163049
103.742891623681,1.32084835041654,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),HUP Rebuilding,,33678.4,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,37A,1/11/1976,Existing,,,,3/1/2008,17936.37,Teban Gardens Road,601037,,"Blk 37A, Teban Garden Road, Singapore 601037",D50987C77B5B66E7,20221012163049
