flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
188 BOON LAY DR,Jurong Central Park,0.72,1,Boon Lay Shopping Centre,0.32,5,Rulang Primary School,0.89,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.25,4
408B FERNVALE RD,Sengkang Riverside Park,1.62,1,The Seletar Mall,0.28,5,Sengkang Green Primary School,0.44,3,Fernvale Hawker Centre & Market,0.31,4
212 PASIR RIS ST 21,Pasir Ris Town Park,1.01,2,Downtown East,1.07,2,Pasir Ris Primary School,0.56,2,Pasir Ris Central Hawker Centre,1.2,1
509B YISHUN AVE 4,Lower Seletar Reservoir Park,1.1,2,Wisteria Mall,0.48,2,Northland Primary School,0.8,2,Yishun Park Hawker Centre,1.34,1
319 SERANGOON AVE 2,Japanese Cemetery Park,1.73,1,NEX,0.51,3,Yangzheng Primary School,0.43,1,Serangoon Garden Market,1.18,4
510 WEST COAST DR,West Coast Park,0.97,2,321 Clementi,0.48,4,Fairfield Methodist School (Primary),2.97,0,West Coast Drive Blk 503 (Ayer Rajah Food Centre),0.16,5
270A PUNGGOL FIELD,Punggol Waterway Park,0.98,3,Waterway Point,0.4,6,Punggol Green Primary School,0.26,7,One Punggol Hawker Centre,0.76,3
119 PENDING RD,Zhenghua Park,1.39,2,Hillion Mall,0.64,7,Bukit Panjang Primary School,0.32,3,Bukit Panjang Hawker Centre,0.4,2
583 PASIR RIS ST 53,Pasir Ris Town Park,0.76,3,White Sands,0.47,3,Pasir Ris Primary School,1.79,1,Pasir Ris Central Hawker Centre,0.56,1
120B RIVERVALE DR,Punggol Park,1.27,2,Rivervale Plaza,0.28,7,Horizon Primary School,1.82,3,Buangkok Hawker Centre,1.39,1
143 RIVERVALE DR,Sengkang Sculpture Park,1.13,2,Rivervale Mall,0.28,7,Horizon Primary School,1.35,7,Buangkok Hawker Centre,1.71,1
272B PUNGGOL WALK,Punggol Waterway Park,0.99,3,Waterway Point,0.4,7,Punggol Green Primary School,0.24,7,One Punggol Hawker Centre,0.74,3
25 TELOK BLANGAH CRES,Mount Faber Park,0.42,5,VivoCity,1.38,5,Radin Mas Primary School,0.58,1,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),0.13,15
319 WOODLANDS ST 31,Marsiling Park,1.26,1,Marsiling Mall,0.36,5,Admiralty Primary School,2.8,0,Marsiling Mall Hawker Centre,0.35,2
716 WOODLANDS DR 70,Admiralty Park,1.45,1,Admiralty Place,0.3,6,Admiralty Primary School,0.13,2,Kampung Admiralty Hawker Centre,0.2,1
27 GHIM MOH LINK,One-north Park,0.86,1,The Star Vista,0.41,2,Fairfield Methodist School (Primary),0.87,1,Ghim Moh Road Blk 20,0.45,7
37 LOR 5 TOA PAYOH,Toa Payoh Town Park,0.99,1,HDB Hub,0.73,4,Pei Chun Public School,0.26,2,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),0.15,10
32 EUNOS CRES,Bedok Town Park,2.81,0,Singpost Centre,0.73,4,Maha Bodhi School,0.9,2,Eunos Crescent Blk 4A,0.32,8
336C ANCHORVALE CRES,Sengkang Riverside Park,0.16,2,Compass One,0.96,6,Springdale Primary School,0.37,6,Anchorvale Village Hawker Centre,0.09,3
107 JLN BT MERAH,Tiong Bahru Park,0.83,5,Tiong Bahru Plaza,0.78,4,Radin Mas Primary School,0.54,1,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),0.14,14
207 SERANGOON CTRL,Japanese Cemetery Park,1.33,1,NEX,0.36,5,Yangzheng Primary School,0.78,1,Serangoon Garden Market,1.26,5
678B JURONG WEST ST 64,Jurong Central Park,0.9,1,Jurong Point,0.65,4,Westwood Primary School,0.44,3,Jurong West Hawker Centre,0.84,3
262A COMPASSVALE ST,Sengkang Sculpture Park,0.22,3,Compass One,0.39,7,Springdale Primary School,0.57,6,Anchorvale Village Hawker Centre,0.73,3
42 CHAI CHEE ST,Bedok Town Park,0.81,1,Bedok Mall,0.47,2,Yu Neng Primary School,0.96,2,Bedok North Street 3 Blk 538,0.43,8
219 ANG MO KIO AVE 1,Bishan-Ang Mo Kio Park,0.49,3,Broadway Plaza,0.88,6,Ai Tong School,1.04,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.16,11
92 LOR 4 TOA PAYOH,Toa Payoh Town Park,0.85,2,HDB Hub,0.67,3,Pei Chun Public School,0.67,2,Toa Payoh Lorong 4 Blk 93,0.05,8
6 BOON KENG RD,Kallang Riverside Park,1.37,1,City Square Mall,0.8,8,Pei Chun Public School,2.26,0,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),0.33,11
685B WOODLANDS DR 73,Admiralty Park,1.81,1,Admiralty Place,0.48,5,Admiralty Primary School,0.69,2,Kampung Admiralty Hawker Centre,0.62,1
208 BISHAN ST 23,Ang Mo Kio Town Garden East,1.76,2,Junction 8,0.52,5,Ai Tong School,1.84,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.02,10
635C PUNGGOL DR,Coney Island Park,1.3,2,Oasis Terraces,0.26,4,Horizon Primary School,0.15,6,One Punggol Hawker Centre,1.34,2
228 TAMPINES ST 23,Tampines Eco Green,1.16,3,Tampines 1,1.05,7,Gongshang Primary School,0.64,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.57,2
176 BOON LAY DR,Jurong Central Park,1.04,1,Boon Lay Shopping Centre,0.29,5,Rulang Primary School,0.94,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.38,4
225 SIMEI ST 4,Sun Plaza Park,2.37,0,Eastpoint Mall,0.47,5,Chongzheng Primary School,1.13,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.45,1
