flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
779 WOODLANDS CRES,Admiralty Park,0.87,1,Woodlands Mart,0.31,5,Riverside Primary School,0.18,2,Kampung Admiralty Hawker Centre,0.84,1
84B LOR 2 TOA PAYOH,Toa Payoh Town Park,0.59,2,HDB Hub,0.54,4,CHIJ Primary (Toa Payoh),0.64,2,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),0.35,8
506 BEDOK NTH AVE 3,Bedok Town Park,1.29,1,Bedok Mall,0.81,2,Red Swastika School,0.22,2,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),0.37,8
415 EUNOS RD 5,Bedok Town Park,3.26,0,Singpost Centre,0.34,4,Maha Bodhi School,1.2,2,Geylang Serai Market,0.17,11
163 BEDOK STH RD,East Coast Park,2.38,0,Bedok Mall,2.03,0,Temasek Primary School,0.25,1,New Upper Changi Road Blk 58,0.79,7
273 YISHUN ST 22,Yishun Neighbourhood Park,0.5,3,Junction Nine,0.56,4,Chongfu School,0.09,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.42,2
725 ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.46,3,Broadway Plaza,0.14,3,Ai Tong School,2.05,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.08,10
701 WEST COAST RD,Clementi Woods Park,1.1,2,321 Clementi,0.63,4,Fairfield Methodist School (Primary),2.79,0,West Coast Drive Blk 503 (Ayer Rajah Food Centre),0.5,5
739 YISHUN AVE 5,Sembawang Park,0.86,4,Northpoint City,0.51,5,Chongfu School,1.25,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.44,2
111 WHAMPOA RD,Toa Payoh Town Park,1.02,1,HDB Hub,0.93,6,Pei Chun Public School,1.13,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.42,11
454 PASIR RIS DR 6,Pasir Ris Town Park,0.63,2,Downtown East,0.52,2,Pasir Ris Primary School,0.53,2,Pasir Ris Central Hawker Centre,0.75,1
303B ANCHORVALE LINK,Sengkang Sculpture Park,1.13,3,Sengkang Grand Mall,0.59,8,Springdale Primary School,0.8,5,Buangkok Hawker Centre,0.63,4
208 PETIR RD,Zhenghua Park,0.75,2,Fajar Shopping Centre,1.16,8,Bukit Panjang Primary School,0.63,3,Bukit Panjang Hawker Centre,0.49,1
669 JLN DAMAI,Bedok Town Park,1.56,1,Singpost Centre,2.17,0,Maha Bodhi School,0.94,1,Bedok Reservoir Road Blk 630,0.63,3
436 JURONG WEST AVE 1,Chinese Garden,1.55,2,Boon Lay Shopping Centre,1.32,2,Rulang Primary School,0.77,1,Jurong West Street 52 Blk 505,0.56,5
417 BEDOK NTH AVE 2,Bedok Town Park,1.18,1,Bedok Mall,0.19,2,Yu Neng Primary School,0.72,2,Bedok North Street 1 Blk 216,0.31,8
654 JLN TENAGA,Bedok Town Park,1.72,1,Singpost Centre,2.05,0,Maha Bodhi School,0.8,1,Bedok Reservoir Road Blk 630,0.79,3
312B CLEMENTI AVE 4,West Coast Park,1.07,1,The Clementi Mall,0.53,4,Pei Hwa Presbyterian Primary School,2.41,0,Clementi Ave 3 Blk 448,0.71,5
668 HOUGANG AVE 8,Japanese Cemetery Park,1.16,2,Hougang Green Shopping Mall,0.8,6,Xinmin Primary School,0.24,2,Ci Yuan Hawker Centre,0.23,3
506A SERANGOON NTH AVE 4,Japanese Cemetery Park,0.86,1,Buangkok Square,1.41,6,Xinmin Primary School,0.83,1,Ci Yuan Hawker Centre,0.84,4
228 PENDING RD,Zhenghua Park,1.15,2,Hillion Mall,0.88,8,Bukit Panjang Primary School,0.26,3,Bukit Panjang Hawker Centre,0.3,2
657 WOODLANDS RING RD,Admiralty Park,1.94,1,Admiralty Place,0.53,6,Admiralty Primary School,0.68,2,Kampung Admiralty Hawker Centre,0.43,1
617 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.66,3,Broadway Plaza,1.07,3,Ai Tong School,1.95,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.36,8
359 YUNG AN RD,Japanese Garden,0.9,3,Taman Jurong Shopping Centre,0.2,3,Rulang Primary School,1.18,1,Taman Jurong Market and Food Centre,0.21,5
240 JURONG EAST ST 21,Chinese Garden,0.99,2,Westgate,0.78,4,Princess Elizabeth Primary School,0.9,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.5,3
96 WHAMPOA DR,Toa Payoh Town Park,1.32,1,City Square Mall,1.13,7,Pei Chun Public School,1.68,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.16,13
76A REDHILL RD,Tiong Bahru Park,0.88,4,Tiong Bahru Plaza,1.22,5,Radin Mas Primary School,1.73,1,Redhill Lane Blk 79 (Redhill Market),0.2,18
314 WOODLANDS ST 31,Marsiling Park,1.27,1,Marsiling Mall,0.5,4,Admiralty Primary School,2.95,0,Marsiling Mall Hawker Centre,0.49,2
216 BISHAN ST 23,Ang Mo Kio Town Garden East,1.59,2,Junction 8,0.69,5,Ai Tong School,1.86,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.86,10
142 MARSILING RD,Marsiling Park,0.65,2,Marsiling Mall,0.5,5,Admiralty Primary School,2.63,0,Marsiling Mall Hawker Centre,0.49,2
268B PUNGGOL FIELD,Sengkang Sculpture Park,0.99,3,Waterway Point,0.61,5,Punggol Green Primary School,0.28,7,One Punggol Hawker Centre,0.97,3
262 WATERLOO ST,Dhoby Ghaut Green,0.6,9,Sunshine Plaza,0.26,30,Anglo-Chinese School (Junior),1.65,2,Queen Street Blk 270 (Albert Centre),0.38,10
742 WOODLANDS CIRCLE,Admiralty Park,1.11,2,Woodlands Mart,0.3,6,Admiralty Primary School,0.47,2,Kampung Admiralty Hawker Centre,0.68,1
531 WOODLANDS DR 14,Marsiling Park,2.33,0,Vista Point,0.07,7,Admiralty Primary School,1.53,1,Kampung Admiralty Hawker Centre,1.33,2
638 PASIR RIS DR 1,Pasir Ris Town Park,1.39,4,Pasir Ris West Plaza,0.64,3,Gongshang Primary School,2.29,0,Pasir Ris Central Hawker Centre,1.23,1
450 CHOA CHU KANG AVE 4,Choa Chu Kang Park,1.99,1,Sunshine Place,0.37,5,South View Primary School,1.16,1,Bukit Batok West Hawker Centre,2.76,0
761 WOODLANDS AVE 6,Admiralty Park,0.83,2,Woodlands Mart,0.18,6,Riverside Primary School,0.56,2,Kampung Admiralty Hawker Centre,0.85,1
622 BEDOK RESERVOIR RD,Bedok Town Park,0.61,1,Bedok Mall,1.66,2,Yu Neng Primary School,1.7,3,Bedok Reservoir Road Blk 630,0.33,5
810 JURONG WEST ST 81,Jurong Central Park,1.69,1,Gek Poh Shopping Centre,0.33,4,Westwood Primary School,0.56,2,Jurong West Hawker Centre,0.66,2
162 TAMPINES ST 12,Sun Plaza Park,1.06,2,Tampines Mall,0.4,6,Tampines Primary School,0.35,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.55,2
761 CHOA CHU KANG NTH 5,Choa Chu Kang Park,0.14,1,Yew Tee Point,0.46,8,South View Primary School,1.27,1,Senja Hawker Centre,1.61,1
423 CLEMENTI AVE 1,Clementi Woods Park,1.1,2,321 Clementi,0.62,4,Fairfield Methodist School (Primary),1.99,1,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),0.55,5
235 SIMEI ST 4,Sun Plaza Park,2.19,0,Eastpoint Mall,0.27,5,Chongzheng Primary School,0.96,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.24,1
320B ANCHORVALE DR,Sengkang Sculpture Park,0.77,3,Compass One,0.48,7,Springdale Primary School,0.39,5,Anchorvale Village Hawker Centre,0.68,4
761 PASIR RIS ST 71,Pasir Ris Park,1.59,1,Pasir Ris West Plaza,0.48,2,Gongshang Primary School,2.69,0,Pasir Ris Central Hawker Centre,1.99,1
169 BT BATOK WEST AVE 8,Chinese Garden,1.03,2,West Mall,1.0,4,Princess Elizabeth Primary School,0.29,3,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.49,3
313C ANCHORVALE RD,Sengkang Riverside Park,0.73,3,Compass One,0.79,7,Springdale Primary School,0.38,4,Anchorvale Village Hawker Centre,0.56,4
40 CIRCUIT RD,Kallang Riverside Park,3.02,0,Paya Lebar Square,1.21,2,Maha Bodhi School,1.68,2,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),0.1,8
984B BUANGKOK LINK,Punggol Park,1.81,3,Buangkok Square,0.27,7,Xinmin Primary School,1.21,4,Ci Yuan Hawker Centre,0.78,4
107 TECK WHYE LANE,Choa Chu Kang Park,1.66,1,Teck Whye Shopping Centre,0.25,9,South View Primary School,0.91,4,Senja Hawker Centre,1.3,1
11 JLN BT MERAH,Telok Blangah Hill Park,0.88,4,Alexandra Central,0.42,4,Radin Mas Primary School,2.13,0,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),0.1,13
6 LOR 7 TOA PAYOH,Toa Payoh Town Park,1.36,1,HDB Hub,1.09,3,Pei Chun Public School,0.29,3,Toa Payoh Lorong 8 Blk 210,0.36,9
203E COMPASSVALE RD,Sengkang Sculpture Park,0.77,3,Compass One,0.46,7,Springdale Primary School,0.99,2,Buangkok Hawker Centre,0.72,3
132 MARSILING RISE,Marsiling Park,0.57,2,Marsiling Mall,0.56,5,Admiralty Primary School,2.5,0,Marsiling Mall Hawker Centre,0.56,2
58 STIRLING RD,One-north Park,1.71,1,Anchorpoint,0.81,3,Fairfield Methodist School (Primary),2.18,0,Margaret Drive Hawker Centre,0.14,12
271 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.16,4,Thomson V,0.84,6,Ai Tong School,1.12,1,Shunfu Road Blk 320 (Shunfu Mart),0.78,6
656 SENJA RD,Choa Chu Kang Park,1.83,1,Greenridge Shopping Centre,0.31,6,West Spring Primary School,0.27,3,Senja Hawker Centre,0.4,2
176 LOMPANG RD,Zhenghua Park,1.85,1,Bukit Panjang Plaza,0.19,7,Zhenghua Primary School,0.38,3,Bukit Panjang Hawker Centre,0.76,2
295 CHOA CHU KANG AVE 2,Choa Chu Kang Park,1.78,1,Sunshine Place,0.22,5,South View Primary School,0.71,1,Senja Hawker Centre,2.44,0
242 YISHUN RING RD,Yishun Pond Park,0.54,4,Junction Nine,0.18,5,Chongfu School,0.63,3,Yishun Park Hawker Centre,1.0,2
524 HOUGANG AVE 6,Punggol Park,0.74,2,Hougang Mall,0.38,7,Holy Innocents’ Primary School,0.88,2,Ci Yuan Hawker Centre,0.87,3
216 BT BATOK ST 21,Bukit Batok Town Park,1.18,2,West Mall,0.62,6,Keming Primary School,0.34,3,Bukit Batok West Hawker Centre,1.59,2
557 CHOA CHU KANG NTH 6,Choa Chu Kang Park,0.62,1,Yew Tee Point,0.3,5,South View Primary School,1.55,1,Senja Hawker Centre,2.08,0
302 SHUNFU RD,MacRitchie Reservoir Park,1.06,2,Thomson V,0.58,3,Ai Tong School,1.41,2,Shunfu Road Blk 320 (Shunfu Mart),0.37,7
167 HOUGANG AVE 1,Japanese Cemetery Park,1.97,1,Hougang 1,0.56,4,Holy Innocents’ Primary School,1.79,1,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.29,2
231 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.95,2,West Mall,0.62,5,Keming Primary School,0.47,3,Bukit Batok West Hawker Centre,1.57,2
245 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.01,3,AMK Hub,1.11,6,Ai Tong School,1.22,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.63,9
106 SIMEI ST 1,Sun Plaza Park,2.04,0,Eastpoint Mall,0.26,7,Chongzheng Primary School,0.97,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.81,3
114 PASIR RIS ST 11,Pasir Ris Town Park,0.44,3,White Sands,0.73,3,Pasir Ris Primary School,0.98,2,Pasir Ris Central Hawker Centre,0.67,1
117 PENDING RD,Zhenghua Park,1.54,2,Bukit Panjang Plaza,0.5,7,Zhenghua Primary School,0.29,3,Bukit Panjang Hawker Centre,0.5,2
921 HOUGANG ST 91,Punggol Park,1.36,2,Hougang Green Shopping Mall,0.53,6,Xinmin Primary School,0.56,2,Ci Yuan Hawker Centre,0.16,4
120B CANBERRA CRES,Yishun Park,0.63,2,Canberra Plaza,0.41,4,Chongfu School,1.14,2,Bukit Canberra Hawker Centre,1.18,2
897B WOODLANDS DR 50,Admiralty Park,1.99,1,Vista Point,0.58,7,Admiralty Primary School,0.99,2,Kampung Admiralty Hawker Centre,0.86,2
154 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.3,3,Broadway Plaza,0.71,3,Ai Tong School,1.96,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.3,9
229 PENDING RD,Zhenghua Park,1.09,2,Fajar Shopping Centre,0.92,8,Bukit Panjang Primary School,0.31,3,Bukit Panjang Hawker Centre,0.27,2
269C COMPASSVALE LINK,Punggol Park,0.64,3,Sengkang Grand Mall,0.41,7,Springdale Primary School,1.43,3,Buangkok Hawker Centre,0.46,3
283 TOH GUAN RD,Chinese Garden,1.63,1,IMM,0.47,4,Keming Primary School,1.19,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.14,3
323 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.44,3,AMK Hub,0.17,5,Ai Tong School,1.82,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.42,9
424 TAMPINES ST 41,Sun Plaza Park,0.52,3,Tampines 1,0.46,7,Gongshang Primary School,0.1,3,Hawker Centre @ Our Tampines Hub,1.03,3
266D PUNGGOL WAY,Punggol Waterway Park,1.01,3,Waterway Point,0.49,5,Valour Primary School,0.24,7,One Punggol Hawker Centre,0.83,3
64 JLN MA'MOR,Toa Payoh Town Park,1.13,1,HDB Hub,0.97,5,Pei Chun Public School,0.95,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.69,11
706 CLEMENTI WEST ST 2,Clementi Woods Park,0.96,2,West Coast Plaza,0.54,4,Fairfield Methodist School (Primary),2.66,0,Clementi West Street 2 Blk 726,0.39,5
227 SERANGOON AVE 4,Japanese Cemetery Park,1.18,1,NEX,0.64,4,Yangzheng Primary School,0.91,1,Serangoon Garden Market,0.89,5
113 BT BATOK WEST AVE 6,Bukit Batok Town Park,1.52,2,West Mall,0.47,4,Princess Elizabeth Primary School,0.5,3,Bukit Batok West Hawker Centre,0.8,3
121 KIM TIAN PL,Tiong Bahru Park,0.67,4,Tiong Bahru Plaza,0.41,6,Radin Mas Primary School,0.98,2,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),0.41,17
235 JURONG EAST ST 21,Chinese Garden,1.08,2,Westgate,0.65,4,Princess Elizabeth Primary School,1.03,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.62,3
9 EUNOS CRES,Bedok Town Park,2.55,0,Singpost Centre,0.97,3,Maha Bodhi School,0.76,1,Eunos Crescent Blk 4A,0.21,8
136 MARSILING RD,Marsiling Park,0.55,2,Marsiling Mall,0.58,5,Admiralty Primary School,2.53,0,Marsiling Mall Hawker Centre,0.58,2
120C RIVERVALE DR,Punggol Park,1.2,2,Rivervale Plaza,0.24,7,Springdale Primary School,1.88,3,Buangkok Hawker Centre,1.33,1
428 WOODLANDS ST 41,Marsiling Park,1.77,1,Marsiling Mall,1.09,3,Admiralty Primary School,3.51,0,Marsiling Mall Hawker Centre,1.08,2
167 PETIR RD,Zhenghua Park,1.81,2,Hillion Mall,0.19,7,Zhenghua Primary School,0.54,3,Bukit Panjang Hawker Centre,0.84,2
355 CHOA CHU KANG CTRL,Choa Chu Kang Park,1.15,1,Lot One,0.27,8,South View Primary School,0.32,1,Senja Hawker Centre,1.97,1
892 TAMPINES AVE 8,Bedok Town Park,1.79,2,Our Tampines Hub,1.31,5,Tampines Primary School,1.65,3,Hawker Centre @ Our Tampines Hub,1.28,4
137 RIVERVALE ST,Sengkang Sculpture Park,1.1,2,Rivervale Mall,0.35,7,Horizon Primary School,1.5,6,Buangkok Hawker Centre,1.57,1
2A BOON TIONG RD,Pearl's Hill City Park,0.65,7,Tiong Bahru Plaza,0.62,18,River Valley Primary School,0.9,2,Tiong Bahru Market,0.18,19
192 PUNGGOL CTRL,Punggol Waterway Park,1.35,3,Oasis Terraces,0.53,6,Horizon Primary School,0.43,7,One Punggol Hawker Centre,1.07,2
145 BISHAN ST 11,Toa Payoh Town Park,1.74,1,Junction 8,0.87,2,Pei Chun Public School,0.9,3,Toa Payoh Lorong 8 Blk 210,0.51,7
10 PINE CL,Kallang Riverside Park,1.56,1,Leisure Park Kallang,1.02,4,Kong Hwa School,0.71,1,Kallang Estate Fresh Market and Food Centre,0.29,11
276 YISHUN ST 22,Yishun Neighbourhood Park,0.3,4,Junction Nine,0.68,4,Chongfu School,0.18,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.25,2
677C JURONG WEST ST 64,Jurong Central Park,0.87,1,Jurong Point,0.63,4,Westwood Primary School,0.53,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.87,3
26 GHIM MOH LINK,One-north Park,0.83,1,The Star Vista,0.37,2,Fairfield Methodist School (Primary),0.87,1,Ghim Moh Road Blk 20,0.41,7
329 TAH CHING RD,Japanese Garden,0.6,3,Taman Jurong Shopping Centre,0.47,3,Rulang Primary School,1.19,1,Taman Jurong Market and Food Centre,0.41,5
258 JURONG EAST ST 24,Chinese Garden,0.68,2,Westgate,1.16,4,Princess Elizabeth Primary School,0.64,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.1,3
90 TANGLIN HALT RD,One-north Park,0.96,1,Rochester Mall,1.29,5,Fairfield Methodist School (Primary),1.51,1,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),0.15,11
28 TELOK BLANGAH RISE,Mount Faber Park,0.12,5,VivoCity,1.08,3,Radin Mas Primary School,0.39,1,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),0.19,13
497J TAMPINES ST 45,Tampines Eco Green,1.36,3,Tampines 1,1.66,6,Gongshang Primary School,1.18,3,Pasir Ris Central Hawker Centre,1.8,1
576 HOUGANG AVE 4,Punggol Park,1.08,2,Hougang Green Shopping Mall,0.18,7,Xinmin Primary School,0.86,3,Ci Yuan Hawker Centre,0.51,3
443B FERNVALE RD,Sengkang Riverside Park,1.68,1,The Seletar Mall,0.25,3,Sengkang Green Primary School,0.23,3,Fernvale Hawker Centre & Market,0.35,2
886A TAMPINES ST 83,Sun Plaza Park,1.49,1,Our Tampines Hub,0.89,5,Tampines Primary School,1.33,4,Hawker Centre @ Our Tampines Hub,0.86,2
39 TEBAN GDNS RD,West Coast Park,1.43,1,Jem,1.32,3,Keming Primary School,3.0,0,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),0.06,1
231A SUMANG LANE,Sengkang Riverside Park,0.65,3,Compass One,1.16,4,Punggol Green Primary School,0.77,6,Anchorvale Village Hawker Centre,0.68,2
119 LOR 1 TOA PAYOH,Toa Payoh Town Park,1.01,2,HDB Hub,0.97,4,CHIJ Primary (Toa Payoh),0.77,2,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),0.11,7
782B WOODLANDS CRES,Admiralty Park,1.09,1,Woodlands Mart,0.6,4,Riverside Primary School,0.16,2,Kampung Admiralty Hawker Centre,0.88,1
460 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.08,3,myVillage At Serangoon Garden,0.69,4,Yangzheng Primary School,2.22,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.37,7
242 SIMEI ST 5,Sun Plaza Park,2.09,0,Eastpoint Mall,0.14,7,Chongzheng Primary School,0.88,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.1,2
141 POTONG PASIR AVE 3,Toa Payoh Town Park,2.21,0,The Poiz,0.28,3,Pei Chun Public School,1.38,2,Woodleigh Village Hawker Centre,0.82,9
436D FERNVALE RD,Sengkang Riverside Park,1.35,1,The Seletar Mall,0.14,4,Sengkang Green Primary School,0.14,3,Fernvale Hawker Centre & Market,0.14,2
607 SENJA RD,Choa Chu Kang Park,1.78,1,Junction 10,0.29,8,West Spring Primary School,0.93,4,Senja Hawker Centre,0.51,2
728 CLEMENTI WEST ST 2,Clementi Woods Park,0.72,2,West Coast Plaza,0.31,4,Fairfield Methodist School (Primary),2.46,0,Clementi West Street 2 Blk 726,0.16,5
691A WOODLANDS DR 73,Admiralty Park,1.93,1,Admiralty Place,0.52,5,Admiralty Primary School,0.78,2,Kampung Admiralty Hawker Centre,0.66,1
215 MARSILING LANE,Marsiling Park,0.66,2,Marsiling Mall,1.78,1,Admiralty Primary School,3.16,0,Marsiling Lane Blk 20/21,0.71,2
36 JLN RUMAH TINGGI,Telok Blangah Hill Park,1.08,4,Anchorpoint,0.36,4,Radin Mas Primary School,2.28,0,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),0.19,14
101 HENDERSON CRES,Tiong Bahru Park,0.5,4,Tiong Bahru Plaza,0.82,10,River Valley Primary School,1.65,2,Redhill Lane Blk 79 (Redhill Market),0.48,13
113 BEDOK RESERVOIR RD,Bedok Town Park,1.38,1,Bedok Mall,2.13,0,Maha Bodhi School,1.07,1,Bedok Reservoir Road Blk 630,0.51,3
184 JELEBU RD,Choa Chu Kang Park,2.05,0,Hillion Mall,0.19,7,Zhenghua Primary School,0.77,4,Senja Hawker Centre,0.84,2
333 BT BATOK ST 32,Bukit Batok Town Park,1.15,1,Keat Hong Shopping Centre,1.51,5,Dazhong Primary School,0.56,3,Bukit Batok West Hawker Centre,1.19,1
257 SERANGOON CTRL DR,Japanese Cemetery Park,1.26,1,NEX,0.48,5,Yangzheng Primary School,0.81,1,Serangoon Garden Market,1.07,4
726 WOODLANDS CIRCLE,Admiralty Park,1.15,1,Woodlands Mart,0.23,6,Admiralty Primary School,0.19,2,Kampung Admiralty Hawker Centre,0.49,1
440 CLEMENTI AVE 3,West Coast Park,0.99,2,The Clementi Mall,0.16,4,Pei Hwa Presbyterian Primary School,2.77,0,Clementi Ave 3 Blk 448,0.33,5
203 YISHUN ST 21,Yishun Pond Park,0.5,4,Northpoint City,0.27,5,Chongfu School,0.91,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.9,2
181 BT BATOK WEST AVE 8,Chinese Garden,1.24,3,West Mall,0.82,4,Princess Elizabeth Primary School,0.49,3,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.67,3
50 STIRLING RD,One-north Park,1.59,1,Anchorpoint,0.93,4,Fairfield Methodist School (Primary),2.08,0,Margaret Drive Hawker Centre,0.11,11
283 CHOA CHU KANG AVE 3,Choa Chu Kang Park,1.53,1,Keat Hong Shopping Centre,0.31,7,South View Primary School,0.44,1,Senja Hawker Centre,2.18,0
642 ROWELL RD,Kallang Riverside Park,1.32,5,City Square Mall,0.4,21,Anglo-Chinese School (Junior),1.67,1,Berseh Food Centre,0.06,11
519 BEDOK NTH AVE 1,Bedok Town Park,0.75,1,Bedok Mall,0.55,2,Yu Neng Primary School,0.56,2,Bedok North Street 3 Blk 538,0.37,8
288B COMPASSVALE CRES,Sengkang Sculpture Park,0.41,3,Compass One,0.77,7,Punggol Green Primary School,0.38,8,Anchorvale Village Hawker Centre,1.05,3
435 BT PANJANG RING RD,Zhenghua Park,2.19,0,Fajar Shopping Centre,0.28,5,West Spring Primary School,0.58,3,Bukit Panjang Hawker Centre,0.97,2
17 TECK WHYE LANE,Choa Chu Kang Park,1.55,1,Teck Whye Shopping Centre,0.19,10,South View Primary School,0.89,4,Senja Hawker Centre,1.18,1
235 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.18,3,Broadway Plaza,1.19,5,Ai Tong School,0.79,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.3,8
508 WEST COAST DR,West Coast Park,0.98,2,321 Clementi,0.36,4,Fairfield Methodist School (Primary),2.91,0,West Coast Drive Blk 503 (Ayer Rajah Food Centre),0.22,5
771 CHOA CHU KANG ST 54,Choa Chu Kang Park,0.23,1,Yew Tee Point,0.43,7,South View Primary School,1.43,2,Senja Hawker Centre,1.52,1
10B LOR 7 TOA PAYOH,Toa Payoh Town Park,1.37,1,HDB Hub,1.1,3,Pei Chun Public School,0.34,3,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),0.26,9
704 WEST COAST RD,Clementi Woods Park,1.06,2,West Coast Plaza,0.69,4,Fairfield Methodist School (Primary),2.84,0,Clementi West Street 2 Blk 726,0.5,5
287B JURONG EAST ST 21,Chinese Garden,1.34,2,IMM,0.5,4,Princess Elizabeth Primary School,1.25,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.9,4
434B FERNVALE RD,Sengkang Riverside Park,1.26,1,The Seletar Mall,0.35,3,Sengkang Green Primary School,0.25,3,Fernvale Hawker Centre & Market,0.34,2
535 PASIR RIS DR 1,Pasir Ris Town Park,0.27,3,White Sands,0.22,4,Pasir Ris Primary School,1.42,2,Pasir Ris Central Hawker Centre,0.36,1
254 BANGKIT RD,Zhenghua Park,1.37,2,Fajar Shopping Centre,0.55,5,Zhenghua Primary School,0.51,3,Bukit Panjang Hawker Centre,0.27,2
174 YISHUN AVE 7,Yishun Neighbourhood Park,0.36,4,Canberra Plaza,0.7,5,Chongfu School,0.83,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.76,3
157 YUNG LOH RD,Japanese Garden,1.41,3,Taman Jurong Shopping Centre,0.7,1,Rulang Primary School,2.04,0,Taman Jurong Market and Food Centre,0.66,1
169B PUNGGOL FIELD,Pasir Ris Park,1.8,3,Punggol Plaza,0.16,5,Horizon Primary School,0.7,5,One Punggol Hawker Centre,1.95,1
174A HOUGANG AVE 1,Japanese Cemetery Park,2.18,0,Hougang 1,0.79,4,Holy Innocents’ Primary School,2.01,0,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.49,2
889A WOODLANDS DR 50,Admiralty Park,1.84,1,Woodlands North Plaza,0.64,7,Admiralty Primary School,0.93,2,Kampung Admiralty Hawker Centre,0.86,3
292C BT BATOK EAST AVE 6,Bukit Batok Nature Park,1.29,2,West Mall,0.78,4,Keming Primary School,0.26,3,Bukit Batok West Hawker Centre,1.73,2
5 HOLLAND CL,One-north Park,0.8,1,The Star Vista,0.87,2,Fairfield Methodist School (Primary),1.44,1,Holland Village Market and Food Centre,0.39,9
737 JURONG WEST ST 75,Jurong Central Park,1.22,1,Gek Poh Shopping Centre,0.44,4,Westwood Primary School,0.08,3,Jurong West Hawker Centre,0.74,3
18 GHIM MOH RD,One-north Park,0.89,1,The Star Vista,0.4,2,Fairfield Methodist School (Primary),1.08,1,Ghim Moh Road Blk 20,0.16,7
698C JURONG WEST CTRL 3,Jurong Central Park,0.24,1,Jurong Point,0.14,5,Frontier Primary School,0.97,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.8,4
179 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.81,3,Broadway Plaza,1.21,3,Ai Tong School,1.84,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.43,7
