flat,top_school,top_school_dist,num_top_school_2km
233 BISHAN ST 22,Ai Tong School,1.4087264683512315,1
171 BISHAN ST 13,Pei Chun Public School,1.121558738578072,2
285 BISHAN ST 22,Ai Tong School,1.2209619391215218,1
140 BISHAN ST 12,Pei Chun Public School,0.9227921901420608,3
267 BISHAN ST 24,Ai Tong School,1.137572951706652,1
224 BISHAN ST 23,Ai Tong School,1.643534612115465,1
223 BISHAN ST 23,Ai Tong School,1.7128748942190066,1
236 BISHAN ST 22,Ai Tong School,1.5662626675545677,1
157 BISHAN ST 13,Pei Chun Public School,1.0367742634472985,2
290 BISHAN ST 24,Ai Tong School,1.4102571096523395,1
237 BISHAN ST 22,Ai Tong School,1.577758594284658,1
304 SHUNFU RD,Ai Tong School,1.2799402520831908,2
254 BISHAN ST 22,Ai Tong School,1.1203652519343146,1
313 SHUNFU RD,Ai Tong School,1.1083168147073441,1
113 BISHAN ST 12,Pei Chun Public School,1.3654714446449243,2
141 BISHAN ST 12,Pei Chun Public School,0.9518068417889051,3
289 BISHAN ST 24,Ai Tong School,1.3946244200054205,1
144 BISHAN ST 12,Pei Chun Public School,1.0377772931682714,3
155 BISHAN ST 13,Pei Chun Public School,1.0466465612703173,2
156 BISHAN ST 13,Pei Chun Public School,0.9548491472372673,2
142 BISHAN ST 12,Pei Chun Public School,0.9874179733714089,3
245 BISHAN ST 22,Ai Tong School,1.2181450563839664,1
103 BISHAN ST 12,Pei Chun Public School,1.242681457427596,2
263 BISHAN ST 22,Ai Tong School,1.0814955347541075,1
124 BISHAN ST 12,Pei Chun Public School,1.1639252544464285,3
102 BISHAN ST 12,Pei Chun Public School,1.2347544874237926,2
179 BISHAN ST 13,Pei Chun Public School,1.364762265517073,2
291 BISHAN ST 24,Ai Tong School,1.4462953623595618,1
257 BISHAN ST 22,Ai Tong School,1.1261786057884025,1
244 BISHAN ST 22,Ai Tong School,1.263502400668291,1
301 SHUNFU RD,Ai Tong School,1.3746618396383048,2
212 BISHAN ST 23,Ai Tong School,1.7606276622573713,1
137 BISHAN ST 12,Pei Chun Public School,0.9350763890484534,3
507 BT BATOK ST 52,Keming Primary School,0.8204621610228288,3
413 BT BATOK WEST AVE 4,Dazhong Primary School,0.5279706109286768,2
422 BT BATOK WEST AVE 2,Dazhong Primary School,0.44813319022193004,2
374 BT BATOK ST 31,Dazhong Primary School,0.27719549726413634,3
416 BT BATOK WEST AVE 4,Dazhong Primary School,0.5265927873316192,2
501 BT BATOK ST 52,Keming Primary School,0.7183777202852258,3
342 BT BATOK ST 34,Dazhong Primary School,0.3765141172488904,2
272 BT BATOK EAST AVE 4,Keming Primary School,0.4723239288594958,3
367 BT BATOK ST 31,Dazhong Primary School,0.18620001348997708,3
347 BT BATOK ST 34,Dazhong Primary School,0.45658927374036384,3
312 BT BATOK ST 32,Dazhong Primary School,0.14822198687278498,3
175 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.4144365862862772,3
421 BT BATOK WEST AVE 2,Dazhong Primary School,0.5386519315014402,2
245 BT BATOK EAST AVE 5,Keming Primary School,0.5306602632172364,3
504 BT BATOK ST 52,Keming Primary School,0.7703289500920265,3
239 BT BATOK EAST AVE 5,Keming Primary School,0.5795677418069912,3
533 BT BATOK ST 51,Dazhong Primary School,0.39371683943370145,3
148 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.3494001046824249,3
250 BT BATOK EAST AVE 5,Keming Primary School,0.6749613272014513,3
241 BT BATOK EAST AVE 5,Keming Primary School,0.6628474411679581,3
177 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.32094158017576935,3
258 BT BATOK EAST AVE 4,Keming Primary School,0.7610938556059316,2
345 BT BATOK ST 34,Dazhong Primary School,0.48397380124752587,2
263 BT BATOK EAST AVE 4,Keming Primary School,0.6770707493629283,2
217 BT BATOK ST 21,Keming Primary School,0.22762807238882576,3
340 BT BATOK ST 34,Dazhong Primary School,0.45399238889132293,2
235 BT BATOK EAST AVE 5,Keming Primary School,0.38049162571082285,3
139 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.43838517964661516,3
534 BT BATOK ST 51,Dazhong Primary School,0.42136724273063425,3
230 BT BATOK EAST AVE 3,Keming Primary School,0.3109056963975943,3
219 BT BATOK ST 21,Keming Primary School,0.2583712522578992,3
212 BT BATOK ST 21,Keming Primary School,0.4749004747736644,3
343 BT BATOK ST 34,Dazhong Primary School,0.3630695037441935,2
540 BT BATOK ST 52,Dazhong Primary School,0.6149266501525081,3
537 BT BATOK ST 52,Dazhong Primary School,0.5231435512694378,3
213 BT BATOK ST 21,Keming Primary School,0.42785317592745925,3
513 BT BATOK ST 52,Dazhong Primary School,0.7103014720162878,3
348 BT BATOK ST 34,Dazhong Primary School,0.4047263480370614,3
310 BT BATOK ST 32,Dazhong Primary School,0.06462568460351051,3
331 BT BATOK ST 33,Dazhong Primary School,0.49864436429882253,2
408 BT BATOK WEST AVE 4,Dazhong Primary School,0.7342494774563297,3
370 BT BATOK ST 31,Dazhong Primary School,0.18036348125945298,3
329 BT BATOK ST 33,Dazhong Primary School,0.45187121344363373,2
337 BT BATOK ST 34,Dazhong Primary School,0.486748011788202,2
369 BT BATOK ST 31,Dazhong Primary School,0.3042421248169003,3
182 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.5291906939400716,3
308 BT BATOK ST 31,Dazhong Primary School,0.08072444177456484,3
234 BT BATOK EAST AVE 5,Keming Primary School,0.45434614079464225,3
368 BT BATOK ST 31,Dazhong Primary School,0.2876639280363752,3
242 BT BATOK EAST AVE 5,Keming Primary School,0.6528639158533609,3
165 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.24500110957599722,3
288D BT BATOK ST 25,Keming Primary School,0.3802491353562936,2
260 BT BATOK EAST AVE 4,Keming Primary School,0.7329105593676629,2
316 BT BATOK ST 32,Dazhong Primary School,0.23893765149127788,3
350 BT BATOK ST 34,Dazhong Primary School,0.2609964493641587,3
341 BT BATOK ST 34,Dazhong Primary School,0.4079962888758343,2
244 BT BATOK EAST AVE 5,Keming Primary School,0.47844477188866236,3
363 BT BATOK ST 31,Dazhong Primary School,0.23007764216486054,3
227 BT BATOK CTRL,Keming Primary School,0.4542264475283124,3
233 BT BATOK EAST AVE 5,Keming Primary School,0.425277656069102,3
539 BT BATOK ST 52,Dazhong Primary School,0.5571268962158563,3
169 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.2864692417669697,3
247 BT BATOK EAST AVE 5,Keming Primary School,0.5505204212205238,3
289F BT BATOK ST 25,Keming Primary School,0.350820677043757,2
514 BT BATOK ST 52,Dazhong Primary School,0.6937946431598604,3
257 BT BATOK EAST AVE 4,Keming Primary School,0.7132339826351936,3
193 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5419957439905677,3
325 BT BATOK ST 33,Dazhong Primary School,0.3959125555442817,2
290F BT BATOK ST 24,Keming Primary School,0.2611680705403771,2
301 BT BATOK ST 31,Dazhong Primary School,0.2679070192702905,3
395 BT BATOK WEST AVE 5,Dazhong Primary School,0.896172614047573,2
426 BT BATOK WEST AVE 2,Dazhong Primary School,0.48443864296376193,2
392 BT BATOK WEST AVE 5,Dazhong Primary School,0.9154748819654647,3
386 BT BATOK WEST AVE 5,Dazhong Primary School,0.6953824124782276,1
201 BT BATOK ST 21,Princess Elizabeth Primary School,0.8804030011670857,3
171 BT BATOK WEST AVE 8,Princess Elizabeth Primary School,0.3460782340492212,3
291A BT BATOK ST 24,Keming Primary School,0.15500469081332607,3
357 BT BATOK ST 31,Dazhong Primary School,0.3826270483575001,3
394 BT BATOK WEST AVE 5,Dazhong Primary School,0.9282729298645436,2
620 BT BATOK CTRL,Princess Elizabeth Primary School,0.8570296846260972,3
117 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.71991447636866,3
388 BT BATOK WEST AVE 5,Dazhong Primary School,0.7494958150243254,2
542 BT BATOK ST 52,Dazhong Primary School,0.6528315176435926,3
383 BT BATOK WEST AVE 5,Dazhong Primary School,0.5426956417806043,3
110 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5936841199429655,3
120 BT BATOK CTRL,Princess Elizabeth Primary School,0.8052068242838705,3
623 BT BATOK CTRL,Dazhong Primary School,0.9285197059203373,3
288A BT BATOK ST 25,Keming Primary School,0.5106854534824546,2
299 BT BATOK ST 22,Princess Elizabeth Primary School,0.8962532447080974,3
289C BT BATOK ST 25,Keming Primary School,0.475403724151358,2
