flat,station_name,station_dist,num_station_2km
201 BT BATOK ST 21,Bukit Batok,0.09661892234901963,5
171 BT BATOK WEST AVE 8,Jurong East,0.6360681762710189,5
291A BT BATOK ST 24,Bukit Batok,1.0347102427846857,2
357 BT BATOK ST 31,Hillview,1.2519731014806386,5
394 BT BATOK WEST AVE 5,Bukit Gombak,0.912488461479108,8
620 BT BATOK CTRL,Bukit Batok,0.43567517315351467,5
117 BT BATOK WEST AVE 6,Bukit Batok,0.4377013366769748,5
388 BT BATOK WEST AVE 5,Bukit Gombak,1.0368666370836945,6
542 BT BATOK ST 52,Bukit Batok,0.9864892763306493,3
383 BT BATOK WEST AVE 5,Hillview,1.152298739599088,5
110 BT BATOK WEST AVE 6,Bukit Batok,0.21976746918815024,4
120 BT BATOK CTRL,Bukit Batok,0.5633807777707781,5
623 BT BATOK CTRL,Bukit Batok,0.5926864023909956,4
288A BT BATOK ST 25,Hillview,1.329235565574389,3
299 BT BATOK ST 22,Bukit Batok,0.19482232272452396,4
289C BT BATOK ST 25,Bukit Batok,1.4591805294854374,3
628 BT BATOK CTRL,Bukit Batok,0.6787083366200835,3
76 TELOK BLANGAH DR,Telok Blangah,0.23975606854740777,4
37 JLN RUMAH TINGGI,Queenstown,0.8754807590333633,4
16 TAMAN HO SWEE,Havelock,0.1469405251992649,10
22 TELOK BLANGAH CRES,Redhill,1.2003248365542663,6
33 TELOK BLANGAH WAY,HarbourFront,1.1692209704862042,5
12 TELOK BLANGAH CRES,Redhill,1.1272499359063588,6
43 TELOK BLANGAH RISE,HarbourFront,0.7830971909284044,3
107 JLN BT MERAH,Redhill,1.0941266983651001,6
44 TELOK BLANGAH DR,Telok Blangah,0.6007695721425841,4
142 JLN BT MERAH,Tiong Bahru,1.0962730740980473,7
18 TELOK BLANGAH CRES,Redhill,1.1405620942019672,6
2 JLN BT MERAH,Redhill,1.1594333974218096,5
101 BT PURMEI RD,HarbourFront,1.0261512938414612,4
6 TELOK BLANGAH CRES,Redhill,1.0127907352611394,6
42 TELOK BLANGAH RISE,HarbourFront,0.8150129984942641,4
64 TELOK BLANGAH DR,Telok Blangah,0.4289445136936743,4
75 TELOK BLANGAH DR,Telok Blangah,0.21984798514069817,4
105 HENDERSON CRES,Redhill,0.553194331724356,8
63 TELOK BLANGAH HTS,Telok Blangah,0.46909986935906184,4
61 TELOK BLANGAH HTS,Telok Blangah,0.5888218607538449,4
132 JLN BT MERAH,Tiong Bahru,0.9323800010547013,8
146 JLN BT MERAH,Tiong Bahru,0.8587766939339276,10
101 HENDERSON CRES,Redhill,0.5274882807879075,7
21 TELOK BLANGAH CRES,Redhill,1.2176296088379435,5
22 HAVELOCK RD,Havelock,0.40886479111104934,8
2 EVERTON PK,Chinatown,0.6912044890076547,11
128 BT MERAH VIEW,Redhill,0.7597496871597723,5
26A JLN MEMBINA,Tiong Bahru,0.910936342404737,6
23 TELOK BLANGAH CRES,Redhill,1.272890895158451,5
52 LENGKOK BAHRU,Redhill,0.5671730870779224,3
40 TELOK BLANGAH RISE,HarbourFront,0.9589741471250384,4
24 TELOK BLANGAH CRES,HarbourFront,1.2657813301203213,5
102 HENDERSON CRES,Redhill,0.4964824571911088,7
56 TELOK BLANGAH HTS,Telok Blangah,0.6414046968565351,4
26D JLN MEMBINA,Redhill,0.9591528749319875,5
13 CANTONMENT CL,Maxwell,0.7090283449952557,10
51 TELOK BLANGAH DR,Telok Blangah,0.383220755244932,4
77 TELOK BLANGAH DR,Telok Blangah,0.26836939889638023,4
44 MOH GUAN TER,Tiong Bahru,0.3362134711743469,9
14A TELOK BLANGAH CRES,Redhill,1.0894642431750057,5
