flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
40 CAMBRIDGE RD,Toa Payoh Town Park,1.61,3,Velocity@Novena Square,0.63,16,Anglo-Chinese School (Junior),1.05,2,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.22,8,Farrer Road,0.55,14,Farrer Park,0.55,16,2
111 LOR 3 GEYLANG,Kallang Riverside Park,0.83,1,Kallang Wave Mall,1.03,4,Kong Hwa School,1.63,1,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),0.38,12,Boon Keng,0.3,10,Mountbatten,0.9,11,1
17 JLN TENTERAM,Toa Payoh Town Park,1.35,1,The Poiz,0.88,5,Pei Chun Public School,1.07,1,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.78,12,Riviera,0.4,11,Riviera,0.4,11,0
39 CAMBRIDGE RD,Toa Payoh Town Park,1.57,2,Velocity@Novena Square,0.62,15,Anglo-Chinese School (Junior),1.09,2,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.2,8,Farrer Road,0.56,14,Farrer Park,0.56,16,2
115 WHAMPOA RD,Toa Payoh Town Park,1.15,1,HDB Hub,1.05,6,Pei Chun Public School,1.18,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.44,11,Riviera,0.71,12,Riviera,0.71,14,2
112 WHAMPOA RD,Toa Payoh Town Park,1.12,1,HDB Hub,1.03,6,Pei Chun Public School,1.21,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.38,11,Riviera,0.78,12,Riviera,0.78,14,2
813 JELLICOE RD,Kallang Riverside Park,0.69,2,Aperia,0.43,17,Anglo-Chinese School (Junior),2.3,0,North Bridge Road Market,0.26,11,Lavender,0.1,17,Lavender,0.0,19,2
37 CAMBRIDGE RD,Toa Payoh Town Park,1.52,1,Velocity@Novena Square,0.68,11,Anglo-Chinese School (Junior),1.2,2,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.12,9,Farrer Road,0.57,13,Farrer Park,0.57,15,2
13 UPP BOON KENG RD,Kallang Riverside Park,0.84,1,Aperia,0.81,5,Kong Hwa School,2.03,0,Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),0.14,12,Boon Keng,0.15,13,Boon Keng,0.68,14,1
815 JELLICOE RD,Kallang Riverside Park,0.74,4,Aperia,0.49,18,Anglo-Chinese School (Junior),2.26,0,North Bridge Road Market,0.27,10,Lavender,0.05,19,Lavender,0.06,21,2
48 BENDEMEER RD,Kallang Riverside Park,1.79,1,The Poiz,0.91,3,Pei Chun Public School,1.93,1,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),0.45,10,Riviera,0.63,12,Riviera,0.63,11,0
33 MARINE CRES,East Coast Park,1.97,1,Parkway Parade,0.79,3,Kong Hwa School,2.81,0,Marine Terrace Blk 50A (50A Marine Terrace),0.53,3,Meridian,0.87,2,Marine Terrace,0.42,4,2
57 MARINE TER,East Coast Park,1.56,1,i12 Katong,1.14,3,Maha Bodhi School,2.91,0,Marine Terrace Blk 50A (50A Marine Terrace),0.08,4,Meridian,0.67,2,Marine Terrace,0.13,4,2
18 MARINE TER,East Coast Park,1.72,1,Parkway Parade,1.03,3,Kong Hwa School,3.01,0,Marine Terrace Blk 50A (50A Marine Terrace),0.33,3,Meridian,0.88,2,Marine Terrace,0.22,4,2
1 MARINE TER,East Coast Park,1.21,1,i12 Katong,1.51,3,Maha Bodhi School,3.25,0,Marine Terrace Blk 50A (50A Marine Terrace),0.33,4,Meridian,1.06,2,Marine Terrace,0.39,4,2
3 MARINE TER,East Coast Park,1.33,1,i12 Katong,1.42,3,Maha Bodhi School,3.26,0,Marine Terrace Blk 50A (50A Marine Terrace),0.29,4,Meridian,1.03,2,Marine Terrace,0.31,4,2
426 PASIR RIS DR 6,Pasir Ris Town Park,0.43,3,Downtown East,0.66,2,Pasir Ris Primary School,0.8,2,Pasir Ris Central Hawker Centre,0.63,1,Downtown,0.78,3,Pasir Ris East,0.42,4,1
228 PASIR RIS ST 21,Pasir Ris Town Park,1.0,2,Downtown East,0.77,2,Pasir Ris Primary School,0.16,1,Pasir Ris Central Hawker Centre,1.1,1,Jalan Besar,0.79,2,Pasir Ris East,0.46,3,1
