flat,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
210 BISHAN ST 23,Ang Mo Kio,1.540418696254571,5,Teck Ghee,1.106109326157477,6,1
201 BISHAN ST 23,Ang Mo Kio,1.611640514049093,5,Teck Ghee,1.2460538737238716,6,1
161 BT MERAH CTRL,Redhill,0.4547039847122744,5,Redhill,0.4547039847122744,5,0
116 BT MERAH VIEW,Redhill,0.4315674898049205,7,Redhill,0.4315674898049205,7,0
4 EVERTON PK,Maxwell,0.6862194541689591,10,Maxwell,0.6862194541689591,10,0
201 PETIR RD,Pending,0.6477891135651483,9,Pending,0.6477891135651483,9,0
534 JELAPANG RD,Jelapang,0.2588523131726816,13,Jelapang,0.2588523131726816,13,0
153 GANGSA RD,Petir,0.3340278196961193,12,Petir,0.3340278196961193,12,0
536 UPP CROSS ST,Chinatown,0.3980895024447569,23,Chinatown,0.3980895024447569,24,1
639 ROWELL RD,Little India,0.2932377280748934,19,Little India,0.2025091944835622,20,1
219 CHOA CHU KANG CTRL,South View,0.2321770312981021,6,South View,0.2321770312981021,7,1
15 EUNOS CRES,Eunos,0.5258077979651978,5,Eunos,0.5258077979651978,6,1
9 EUNOS CRES,Eunos,0.2889713109197447,5,Eunos,0.2889713109197447,6,1
303 HOUGANG AVE 5,Aljunied,1.5803650953945352,6,Defu,1.1820113977096478,6,0
569 HOUGANG ST 51,Compassvale,0.964834361803642,9,Hougang,0.9875445137182464,9,0
624 HOUGANG AVE 8,Hougang,0.6851528981122904,4,Hougang,0.6851528981122904,5,1
160 HOUGANG ST 11,Kovan,0.384410510419403,7,Kovan,0.3691654386360882,8,1
319 JURONG EAST ST 31,Jurong East,0.6692652589419908,5,Jurong East,0.6692652589419908,8,3
284 TOH GUAN RD,Bukit Batok,0.7268109089686164,5,Bukit Batok,0.7268109089686164,7,2
739 JURONG WEST ST 73,Boon Lay,1.1469351490710809,2,Gek Poh,0.3410497462490093,6,4
677C JURONG WEST ST 64,Boon Lay,0.6303035381955113,2,Jurong West,0.3133311651613541,7,5
989A JURONG WEST ST 93,Pioneer,0.4876679263282611,1,Pioneer,0.4876679263282611,5,4
718 PASIR RIS ST 72,Pasir Ris,1.3590196719759011,1,Loyang,1.033241782855329,3,2
560 PASIR RIS ST 51,Downtown,1.2342167008207,3,Pasir Ris East,1.0201332744154634,4,1
257 PASIR RIS ST 21,Jalan Besar,1.3929980456804023,3,Pasir Ris East,0.500618949959892,4,1
226 PASIR RIS ST 21,Jalan Besar,0.9105262590882812,2,Pasir Ris East,0.3784634193324382,3,1
487 PASIR RIS DR 4,Jalan Besar,0.5213679332766348,2,Jalan Besar,0.5213679332766348,3,1
553 PASIR RIS ST 51,Downtown,1.020101088698875,3,Pasir Ris East,0.743232837565979,4,1
223 PASIR RIS ST 21,Jalan Besar,0.9251179385346702,2,Pasir Ris East,0.3282199686031521,3,1
778 PASIR RIS ST 71,Tampines East,1.7342347773785771,3,Tampines North,0.6605618176446624,5,2
31 TANGLIN HALT RD,Commonwealth,0.3906875259510483,5,Commonwealth,0.3099977014423606,5,0
337 SEMBAWANG CRES,Canberra,0.4425619228923332,4,Admiralty,1.3474662875307029,2,0
227D COMPASSVALE DR,Kangkar,0.3443718680850505,14,Kangkar,0.3443718680850505,14,0
223B COMPASSVALE WALK,Sengkang,0.4151363831539436,15,Sengkang,0.4151363831539436,15,0
273C COMPASSVALE LINK,Ranggung,0.3025002111593724,13,Compassvale,0.2446603275368482,13,0
273D COMPASSVALE LINK,Ranggung,0.3063661978926371,13,Compassvale,0.2805770829902301,13,0
318A ANCHORVALE LINK,Farmway,0.3834210208376489,16,Farmway,0.3834210208376489,16,0
550 SERANGOON NTH AVE 3,Hougang,1.0413006061320158,2,Tavistock,0.6341047918273616,4,2
506B SERANGOON NTH AVE 4,Hougang,0.5434314161987089,3,Hougang,0.5434314161987089,5,2
827 TAMPINES ST 81,Tampines West,0.7008278375459784,2,Tampines West,0.7008278375459784,2,0
897A TAMPINES ST 81,Tampines West,0.4248706186780364,2,Tampines West,0.4248706186780364,2,0
146 SIMEI ST 2,Tampines,0.8560774275994104,6,Tampines,0.8560774275994104,6,0
495D TAMPINES ST 43,Tampines,1.2939283769322405,3,Pasir Ris East,0.9809322744482366,4,1
