flat,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards
10E BEDOK STH AVE 2,Bedok South,0.7128030514003462,5
115 BEDOK NTH RD,Bedok North,0.8089524226720083,7
403 SIN MING AVE,Bright Hill,0.2328852369800516,6
150A BISHAN ST 11,Marymount,0.47989121850991956,6
115 BISHAN ST 12,Marymount,1.241143936270975,6
116 BISHAN ST 12,Marymount,1.1859943370665185,5
111 BISHAN ST 12,Marymount,1.2411684468182211,5
153 BISHAN ST 13,Marymount,0.6632396796683112,6
455 SIN MING AVE,Bright Hill,0.6433799867018034,4
445 SIN MING AVE,Bright Hill,0.5483810577354388,4
239 BISHAN ST 22,Teck Ghee,0.8923425578990919,5
233 BISHAN ST 22,Teck Ghee,0.9822446206847829,5
171 BISHAN ST 13,Marymount,0.7956589213929067,5
285 BISHAN ST 22,Bright Hill,0.992999317132484,5
140 BISHAN ST 12,Marymount,0.655316709506491,5
267 BISHAN ST 24,Bright Hill,0.9445486298006714,5
224 BISHAN ST 23,Teck Ghee,0.8191169452944587,6
223 BISHAN ST 23,Teck Ghee,0.84508045452402,6
236 BISHAN ST 22,Teck Ghee,0.8503752985819288,6
157 BISHAN ST 13,Marymount,0.6239259468705828,6
290 BISHAN ST 24,Bright Hill,1.2285516547507895,5
237 BISHAN ST 22,Teck Ghee,0.802880521144839,6
304 SHUNFU RD,Bright Hill,1.333687237853406,3
254 BISHAN ST 22,Bishan,0.827686238452571,6
313 SHUNFU RD,Bright Hill,1.1706208872160946,3
113 BISHAN ST 12,Marymount,1.1867508184794529,5
141 BISHAN ST 12,Marymount,0.6645589684131344,5
289 BISHAN ST 24,Teck Ghee,1.1933635756835068,5
144 BISHAN ST 12,Marymount,0.7377967911976177,5
155 BISHAN ST 13,Marymount,0.6539206597394743,6
156 BISHAN ST 13,Marymount,0.5439066873743934,6
142 BISHAN ST 12,Marymount,0.6902211165538833,5
245 BISHAN ST 22,Bright Hill,0.9609663171208829,5
103 BISHAN ST 12,Marymount,1.1236365131574664,5
263 BISHAN ST 22,Bright Hill,0.8599988164194639,5
124 BISHAN ST 12,Marymount,0.9280926422812096,4
102 BISHAN ST 12,Marymount,1.1356109919999209,5
179 BISHAN ST 13,Marymount,1.0745946902444496,5
291 BISHAN ST 24,Teck Ghee,1.249630519982288,6
257 BISHAN ST 22,Bright Hill,0.8834508913634995,5
244 BISHAN ST 22,Teck Ghee,0.9299699512161731,5
301 SHUNFU RD,Caldecott,1.4249119827342251,3
212 BISHAN ST 23,Teck Ghee,1.07320344369527,5
137 BISHAN ST 12,Marymount,0.7347716103104541,4
507 BT BATOK ST 52,Bukit Batok West,0.956684950085471,4
413 BT BATOK WEST AVE 4,Bukit Batok West,0.660562202777813,7
422 BT BATOK WEST AVE 2,Bukit Batok West,0.5308462215420042,6
374 BT BATOK ST 31,Bukit Batok West,0.38729609132272586,5
416 BT BATOK WEST AVE 4,Bukit Batok West,0.635761867740952,6
501 BT BATOK ST 52,Hillview,0.9233736776599166,4
342 BT BATOK ST 34,Bukit Batok West,0.5665547505588403,7
272 BT BATOK EAST AVE 4,Hillview,0.98129404048469,4
367 BT BATOK ST 31,Bukit Batok West,0.40231132733102964,6
347 BT BATOK ST 34,Bukit Batok West,0.6736016383073506,7
312 BT BATOK ST 32,Bukit Batok West,0.24870842548050512,6
175 BT BATOK WEST AVE 8,Bukit Batok,0.6087696893723951,9
421 BT BATOK WEST AVE 2,Bukit Batok West,0.5990994231124998,6
245 BT BATOK EAST AVE 5,Hillview,0.9258314438689378,4
504 BT BATOK ST 52,Hillview,0.8905170466391017,4
239 BT BATOK EAST AVE 5,Bukit Batok,1.010782868875433,4
533 BT BATOK ST 51,Bukit Batok West,0.34157008383934395,5
148 BT BATOK WEST AVE 6,Bukit Batok,0.5070325331733588,8
250 BT BATOK EAST AVE 5,Hillview,0.8064608524159312,4
241 BT BATOK EAST AVE 5,Bukit Batok,0.9938308597531006,4
177 BT BATOK WEST AVE 8,Bukit Batok,0.6150592640781659,9
258 BT BATOK EAST AVE 4,Hillview,0.6908380203227567,5
345 BT BATOK ST 34,Bukit Batok West,0.7007186172847008,7
263 BT BATOK EAST AVE 4,Hillview,0.7853091956851915,4
217 BT BATOK ST 21,Bukit Batok,0.8582478690752045,4
340 BT BATOK ST 34,Bukit Batok West,0.6597336781983066,7
235 BT BATOK EAST AVE 5,Bukit Batok,1.0652645871734367,4
139 BT BATOK WEST AVE 6,Bukit Batok,0.6481571817503731,7
534 BT BATOK ST 51,Bukit Batok West,0.39810684026402704,5
230 BT BATOK EAST AVE 3,Bukit Batok,0.9041243720980354,4
219 BT BATOK ST 21,Bukit Batok,0.8946257039765144,4
212 BT BATOK ST 21,Bukit Batok,0.5898247338719305,6
343 BT BATOK ST 34,Bukit Batok West,0.5668030625205979,7
540 BT BATOK ST 52,Bukit Batok West,0.5734184319995114,6
537 BT BATOK ST 52,Bukit Batok West,0.4883577290970669,6
213 BT BATOK ST 21,Bukit Batok,0.6127910429425288,6
513 BT BATOK ST 52,Bukit Batok West,0.6870865168100138,6
348 BT BATOK ST 34,Bukit Batok West,0.6219541638529434,7
310 BT BATOK ST 32,Bukit Batok West,0.2819246504265674,6
331 BT BATOK ST 33,Bukit Batok West,0.6627041174256911,8
408 BT BATOK WEST AVE 4,Bukit Batok West,0.8345064625428698,6
370 BT BATOK ST 31,Bukit Batok West,0.39009413413755567,6
