Station Code,MRT Station English Name,MRT Station Chinese Name,MRT Line English,MRT Line Chinese
DT1,Bukit Panjang,武吉班让,Downtown Line,滨海市区线
BP6,Bukit Panjang,武吉班让,Bukit Panjang LRT,武吉班让轻轨线
EW21,Buona Vista,波那维斯达,East West Line,东西线
CC22,Buona Vista,波那维斯达,Circle Line,环线
CC17,Caldecott,加利谷,Circle Line,环线
TE9,Caldecott,加利谷,Thomson-East Coast Line,汤申-东海岸地铁线
DT2,Cashew,凯秀,Downtown Line,滨海市区线
CG2,Changi Airport,樟宜机场,Changi Airport Branch Line,樟宜机场支线
SW1,Cheng Lim,振林,Sengkang LRT,盛港轻轨线
NE4,Chinatown,牛车水,North East Line,东北线
DT19,Chinatown,牛车水,Downtown Line,滨海市区线
EW25,Chinese Garden,裕华园,East West Line,东西线
NS4,Choa Chu Kang,蔡厝港,North South Line,南北线
BP1,Choa Chu Kang,蔡厝港,Bukit Panjang LRT,武吉班让轻轨线
JS2,Choa Chu Kang West,蔡厝港西,Jurong Region Line,裕廊区域线
NS25,City Hall,政府大厦,North South Line,南北线
EW13,City Hall,政府大厦,East West Line,东西线
NE5,Clarke Quay,克拉码头,North East Line,东北线
EW23,Clementi,金文泰,East West Line,东西线
EW20,Commonwealth,联邦,East West Line,东西线
SE1,Compassvale,康埔桦,Sengkang LRT,盛港轻轨线
PE3,Coral Edge,珊瑚,Punggol LRT,榜鹅轻轨线
JS5,Corporation,企业,Jurong Region Line,裕廊区域线
PE1,Cove,海湾,Punggol LRT,榜鹅轻轨线
CC8,Dakota,达科达,Circle Line,环线
PE7,Damai,达迈,Punggol LRT,榜鹅轻轨线
CR7,Defu,德福,Cross Island Line,跨岛地铁线
NS24,Dhoby Ghaut,多美歌,North South Line,南北线
NE6,Dhoby Ghaut,多美歌,North East Line,东北线
CC1,Dhoby Ghaut,多美歌,Circle Line,环线
EW22,Dover,杜弗,East West Line,东西线
DT17,Downtown,市中心,Downtown Line,滨海市区线
CP2,Elias,伊莱雅,Cross Island Line,跨岛地铁线
JS9,Enterprise,事业,Jurong Region Line,裕廊区域线
CC3,Esplanade,滨海中心,Circle Line,环线
EW7,Eunos,友诺士,East West Line,东西线
DT35,Expo,博览,Downtown Line,滨海市区线
CG1,Expo,博览,Changi Airport Branch Line,樟宜机场支线
BP10,Fajar,法嘉,Bukit Panjang LRT,武吉班让轻轨线
SW2,Farmway,农道,Sengkang LRT,盛港轻轨线
NE8,Farrer Park,花拉公园,North East Line,东北线
CC20,Farrer Road,花拉路,Circle Line,环线
SW5,Fernvale,芬微,Sengkang LRT,盛港轻轨线
DT20,Fort Canning,福康宁,Downtown Line,滨海市区线
TE22A,Founders' Memorial,建国先贤纪念园,Thomson-East Coast Line,汤申-东海岸地铁线
TE22,Gardens by The Bay,滨海湾花园,Thomson-East Coast Line,汤申-东海岸地铁线
JW1,Gek Poh,玉宝,Jurong Region Line,裕廊区域线
DT24,Geylang Bahru,芽笼峇鲁,Downtown Line,滨海市区线
