,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
1225,BAYFRONT BRIDGE,,NIL,BAYFRONT BRIDGE,BAYFRONT BRIDGE,NIL,31044.9816557299,29991.7467473913,1.28750906560659,103.860678975275,103.860678975275,Bayfront
1226,BAYFRONT MRT STATION (DT16 / CE1),11,BAYFRONT AVENUE,BAYFRONT MRT STATION (DT16 / CE1),11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957,30867.0092712184,29368.6250332333,1.28187378879209,103.859079764874,103.859079764874,Bayfront
1227,BAYFRONT MRT STATION EXIT,,NIL,BAYFRONT MRT STATION EXIT,BAYFRONT MRT STATION EXIT,NIL,31099.6697579063,29376.0639653243,1.2819410418667,103.861170309768,103.861170309768,Bayfront
1228,BAYFRONT MRT STATION EXIT A,,NIL,BAYFRONT MRT STATION EXIT A,BAYFRONT MRT STATION EXIT A,NIL,30847.1161534768,29302.4357026033,1.28127519755786,103.858901011605,103.858901011605,Bayfront
1229,BAYFRONT MRT STATION EXIT B,,NIL,BAYFRONT MRT STATION EXIT B,BAYFRONT MRT STATION EXIT B,NIL,30942.6216608072,29460.5616728719,1.28270522446426,103.859759179874,103.859759179874,Bayfront
1230,BAYFRONT MRT STATION EXIT C,,NIL,BAYFRONT MRT STATION EXIT C,BAYFRONT MRT STATION EXIT C,NIL,30924.5580308046,29474.9012814984,1.28283490852292,103.859596872464,103.859596872464,Bayfront
1231,BAYFRONT MRT STATION EXIT D,,NIL,BAYFRONT MRT STATION EXIT D,BAYFRONT MRT STATION EXIT D,NIL,30913.0920645529,29474.8398374915,1.28283435390697,103.859493846293,103.859493846293,Bayfront
1232,CLEMENTI ARCADE,41,SUNSET WAY,CLEMENTI ARCADE,41 SUNSET WAY CLEMENTI ARCADE SINGAPORE 597071,597071,20676.7729120497,33977.3658625502,1.32355286918436,103.767515486547,103.767515486547,Clementi
1233,CLEMENTI AVE 2 MARKET/COOKED FOOD CENTRE,353,CLEMENTI AVENUE 2,CLEMENTI AVE 2 MARKET/COOKED FOOD CENTRE,353 CLEMENTI AVENUE 2 CLEMENTI AVE 2 MARKET/COOKED FOOD CENTRE SINGAPORE 120353,120353,21042.8925967468,32962.3245489281,1.31437328536733,103.770805494512,103.770805494512,Clementi
1234,CLEMENTI AVENUE 2 INTO AYE (CITY) - ERP(53),,NIL,CLEMENTI AVENUE 2 INTO AYE (CITY) - ERP(53),CLEMENTI AVENUE 2 INTO AYE (CITY) - ERP(53),NIL,20556.6998206433,32354.5048442055,1.3088762682627,103.766436957496,103.766436957496,Clementi
1235,CLEMENTI AVENUE 2 SHOPPING CENTRE,353A,CLEMENTI AVENUE 2,CLEMENTI AVENUE 2 SHOPPING CENTRE,353A CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 121353,121353,21017.7050032923,32995.0524116829,1.31466925871322,103.770579164108,103.770579164108,Clementi
1236,CLEMENTI AVENUE 2 SHOPPING CENTRE,354,CLEMENTI AVENUE 2,CLEMENTI AVENUE 2 SHOPPING CENTRE,354 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120354,120354,21049.0773446644,32867.2939462624,1.31351386405455,103.770861088889,103.770861088889,Clementi
