,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
412,UOB HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,UOB HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 UOB HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Mall
413,OCBC HOUGANG GREEN SHOPPING MALL,21,HOUGANG STREET 51,OCBC HOUGANG GREEN SHOPPING MALL,21 HOUGANG STREET 51 OCBC HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,538719,34068.3398895012,40143.5433120634,1.37931783499145,103.88784708944,103.88784708944,Hougang Mall
414,NEX,23,SERANGOON CENTRAL,NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,556083,32337.7653476875,36986.7628374919,1.35076935257845,103.872296143862,103.872296143862,NEX
415,NEXUS @ONE-NORTH,1,FUSIONOPOLIS LINK,NEXUS @ONE-NORTH,1 FUSIONOPOLIS LINK NEXUS @ONE-NORTH SINGAPORE 138542,138542,23135.3729751017,31290.5422360059,1.29925468229405,103.78960773275,103.78960773275,NEX
416,NEXUS @ONE-NORTH,3,FUSIONOPOLIS LINK,NEXUS @ONE-NORTH,3 FUSIONOPOLIS LINK NEXUS @ONE-NORTH SINGAPORE 138543,138543,23154.3816926274,31228.6286515612,1.2986947607554,103.78977854412,103.78977854412,NEX
417,NEXUS INTERNATIONAL SCHOOL (SINGAPORE),1,ALJUNIED WALK,NEXUS INTERNATIONAL SCHOOL (SINGAPORE),1 ALJUNIED WALK NEXUS INTERNATIONAL SCHOOL (SINGAPORE) SINGAPORE 387293,387293,33053.7749939449,33673.3404318932,1.32080383232055,103.878729392176,103.878729392176,NEX
418,NORTHSHORE PLAZA I,407,NORTHSHORE DRIVE,NORTHSHORE PLAZA I,407 NORTHSHORE DRIVE NORTHSHORE PLAZA I SINGAPORE 820407,820407,35651.5384684131,44283.8929350749,1.41676127156324,103.902074379502,103.902074379502,Northshore Plaza
419,NORTHSHORE PLAZA II,418,NORTHSHORE DRIVE,NORTHSHORE PLAZA II,418 NORTHSHORE DRIVE NORTHSHORE PLAZA II SINGAPORE 820418,820418,35567.7865337161,44416.5981273428,1.41796143093751,103.901321830086,103.901321830086,Northshore Plaza
420,OASIS TERRACES,681,PUNGGOL DRIVE,OASIS TERRACES,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,820681,36891.3954429701,42737.9701953474,1.40278015725693,103.913215101343,103.913215101343,Oasis Terraces
421,OCBC OASIS TERRACES - FAIRPRICE,681,PUNGGOL DRIVE,OCBC OASIS TERRACES - FAIRPRICE,681 PUNGGOL DRIVE OCBC OASIS TERRACES - FAIRPRICE SINGAPORE 820681,820681,36918.8045550892,42742.7659757603,1.40282352005409,103.91346139614,103.91346139614,Oasis Terraces
