flat,park,park_dist,num_park_2km
233 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.2583949034708042,3
171 BISHAN ST 13,Toa Payoh Town Park,1.907793578688278,1
285 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.0940526556882602,3
140 BISHAN ST 12,Toa Payoh Town Park,1.6787851999592136,1
267 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.1045740802460187,3
224 BISHAN ST 23,Ang Mo Kio Town Garden East,1.3351842165656458,3
223 BISHAN ST 23,Ang Mo Kio Town Garden East,1.3767671731922249,3
236 BISHAN ST 22,Ang Mo Kio Town Garden East,1.3487988894625311,3
157 BISHAN ST 13,Toa Payoh Town Park,1.9726259024581434,1
290 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.3832957667652346,2
237 BISHAN ST 22,Ang Mo Kio Town Garden East,1.3002454371612506,3
304 SHUNFU RD,MacRitchie Reservoir Park,1.0670478354668105,2
254 BISHAN ST 22,Bishan-Ang Mo Kio Park,0.827686238452571,3
313 SHUNFU RD,MacRitchie Reservoir Park,1.171300412871556,2
113 BISHAN ST 12,MacRitchie Reservoir Park,1.8074749382092852,2
141 BISHAN ST 12,Toa Payoh Town Park,1.7248892161154585,1
289 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.344722271134206,3
144 BISHAN ST 12,Toa Payoh Town Park,1.8049616418789078,1
155 BISHAN ST 13,Toa Payoh Town Park,1.9481185135843309,1
156 BISHAN ST 13,Toa Payoh Town Park,1.8968671223226647,1
142 BISHAN ST 12,Toa Payoh Town Park,1.763901274314476,1
245 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.0066453357940046,3
103 BISHAN ST 12,Toa Payoh Town Park,1.6548631692525673,2
263 BISHAN ST 22,Bishan-Ang Mo Kio Park,0.9856628768467852,3
124 BISHAN ST 12,Toa Payoh Town Park,1.800060860842631,1
102 BISHAN ST 12,Toa Payoh Town Park,1.6134447612552634,2
179 BISHAN ST 13,Toa Payoh Town Park,2.0439014337154737,0
291 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.4215531339406853,2
257 BISHAN ST 22,Bishan-Ang Mo Kio Park,0.9680826847750977,3
244 BISHAN ST 22,Bishan-Ang Mo Kio Park,1.0414298727791236,3
301 SHUNFU RD,MacRitchie Reservoir Park,1.0140764480118978,2
212 BISHAN ST 23,Ang Mo Kio Town Garden East,1.6136089529177389,2
137 BISHAN ST 12,Toa Payoh Town Park,1.5959754145031178,1
507 BT BATOK ST 52,Bukit Batok Town Park,0.6234913289567291,2
413 BT BATOK WEST AVE 4,Bukit Batok Town Park,1.212705173280502,1
422 BT BATOK WEST AVE 2,Bukit Batok Town Park,1.2192378188143154,1
374 BT BATOK ST 31,Bukit Batok Town Park,0.5602130187845815,2
416 BT BATOK WEST AVE 4,Bukit Batok Town Park,1.251208841215629,1
501 BT BATOK ST 52,Bukit Batok Town Park,0.6777563460229337,2
342 BT BATOK ST 34,Bukit Batok Town Park,0.9694053990786298,1
272 BT BATOK EAST AVE 4,Bukit Batok Nature Park,0.7830793208791986,2
367 BT BATOK ST 31,Bukit Batok Town Park,0.7374858506515035,1
347 BT BATOK ST 34,Bukit Batok Town Park,0.7237035823754309,1
312 BT BATOK ST 32,Bukit Batok Town Park,0.9678648896449192,1
175 BT BATOK WEST AVE 8,Chinese Garden,1.048610529497927,2
421 BT BATOK WEST AVE 2,Bukit Batok Town Park,1.3181670248030861,1
245 BT BATOK EAST AVE 5,Bukit Batok Nature Park,0.8700718627445465,2
504 BT BATOK ST 52,Bukit Batok Town Park,0.6261358756666933,2
239 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.8145374968783778,2
533 BT BATOK ST 51,Bukit Batok Town Park,0.6859342327315583,2
148 BT BATOK WEST AVE 6,Chinese Garden,1.458976472222109,2
250 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.7368425947942561,2
241 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.7506293738520198,2
177 BT BATOK WEST AVE 8,Chinese Garden,1.079175369151796,2
258 BT BATOK EAST AVE 4,Bukit Batok Town Park,0.7800196204650953,3
345 BT BATOK ST 34,Bukit Batok Town Park,0.7968659778933543,1
263 BT BATOK EAST AVE 4,Bukit Batok Nature Park,0.709361680145791,3
217 BT BATOK ST 21,Bukit Batok Nature Park,1.1350741696727453,2
340 BT BATOK ST 34,Bukit Batok Town Park,0.9232271962032111,1
235 BT BATOK EAST AVE 5,Bukit Batok Nature Park,0.9604427645841079,2
139 BT BATOK WEST AVE 6,Bukit Batok Town Park,1.472032871786122,2
534 BT BATOK ST 51,Bukit Batok Town Park,0.61973244445233,2
